yearstart,yearend,locationabbr,locationdesc,datasource,topic,question,response,datavalueunit,datavaluetypeid,datavaluetype,datavalue,datavaluealt,datavaluefootnotesymbol,datavaluefootnote,lowconfidencelimit,highconfidencelimit,stratificationcategory1,stratification1,stratificationcategory2,stratification2,stratificationcategory3,stratification3,geolocation,topicid,questionid,responseid,locationid,stratificationcategoryid1,stratificationid1,stratificationcategoryid2,stratificationid2,stratificationcategoryid3,stratificationid3
2013,2013,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,184.8,184.8,,,183,186.5,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,OVERALL,OVR,,,,
2014,2014,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,43116,43116,,,,,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,OVERALL,OVR,,,,
2014,2014,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,218.4,218.4,,,216.3,220.4,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,OVERALL,OVR,,,,
2014,2014,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,178.3,178.3,,,176.6,180,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,OVERALL,OVR,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,73,73,,,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,AIAN,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,105,105,,,82.3,132,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,AIAN,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,147.6,147.6,,,114.4,187.4,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,AIAN,,,,
2011,2011,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,50,50,,,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,AIAN,,,,
2011,2011,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,71.2,71.2,,,52.8,93.8,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,AIAN,,,,
2011,2011,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,91.8,91.8,,,67.2,122.5,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,AIAN,,,,
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,54,54,,,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,AIAN,,,,
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,76.7,76.7,,,57.6,100.1,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,AIAN,,,,
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,96.5,96.5,,,71.8,126.8,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,AIAN,,,,
2013,2013,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,65,65,,,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,AIAN,,,,
2013,2013,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,91.7,91.7,,,70.8,116.9,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,AIAN,,,,
2013,2013,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,114.7,114.7,,,87.9,147,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,AIAN,,,,
2014,2014,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,62,62,,,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,AIAN,,,,
2014,2014,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,86.7,86.7,,,66.5,111.2,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,AIAN,,,,
2014,2014,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,100.6,100.6,,,76.6,129.8,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,AIAN,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,1043,1043,,,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,API,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,69.4,69.4,,,65.2,73.6,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,API,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,106.7,106.7,,,99.9,113.4,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,API,,,,
2011,2011,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,1035,1035,,,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,API,,,,
2011,2011,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,67.3,67.3,,,63.2,71.4,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,API,,,,
2011,2011,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,98.6,98.6,,,92.4,104.8,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,API,,,,
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,1101,1101,,,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,API,,,,
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,69.3,69.3,,,65.2,73.4,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,API,,,,
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,97.9,97.9,,,92,103.9,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,API,,,,
2013,2013,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,1233,1233,,,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,API,,,,
2013,2013,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,75.4,75.4,,,71.2,79.7,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,API,,,,
2013,2013,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,101.2,101.2,,,95.4,106.9,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,API,,,,
2014,2014,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,1260,1260,,,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,API,,,,
2014,2014,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,74,74,,,69.9,78.1,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,API,,,,
2014,2014,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,95.6,95.6,,,90.2,101,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,API,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,5804,5804,,,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,BLK,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,198.8,198.8,,,193.7,203.9,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,BLK,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,233.5,233.5,,,227.4,239.6,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,BLK,,,,
2011,2011,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,5663,5663,,,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,BLK,,,,
2011,2011,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,192.7,192.7,,,187.7,197.8,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,BLK,,,,
2011,2011,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,221.3,221.3,,,215.5,227.2,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,BLK,,,,
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,5805,5805,,,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,BLK,,,,
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,196.5,196.5,,,191.4,201.5,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,BLK,,,,
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,219,219,,,213.3,224.7,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,BLK,,,,
2013,2013,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,5912,5912,,,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,BLK,,,,
2013,2013,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,199.2,199.2,,,194.1,204.3,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,BLK,,,,
2013,2013,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,215.8,215.8,,,210.2,221.4,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,BLK,,,,
2014,2014,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,5914,5914,,,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,BLK,,,,
2014,2014,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,197.5,197.5,,,192.5,202.5,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,BLK,,,,
2014,2014,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,209.8,209.8,,,204.3,215.2,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,BLK,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,23621,23621,,,,,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENF,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,236.2,236.2,,,233.2,239.2,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENF,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,165.1,165.1,,,162.9,167.2,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENF,,,,
2011,2011,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,23512,23512,,,,,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENF,,,,
2011,2011,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,234.3,234.3,,,231.3,237.3,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENF,,,,
2011,2011,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,161.7,161.7,,,159.6,163.8,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENF,,,,
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,22634,22634,,,,,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENF,,,,
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,224.5,224.5,,,221.6,227.4,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENF,,,,
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,152.5,152.5,,,150.4,154.5,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENF,,,,
2013,2013,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,22594,22594,,,,,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENF,,,,
2013,2013,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,223.4,223.4,,,220.5,226.3,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENF,,,,
2013,2013,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,151,151,,,149,153.1,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENF,,,,
2014,2014,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,21974,21974,,,,,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENF,,,,
2014,2014,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,216.2,216.2,,,213.3,219,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENF,,,,
2014,2014,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,145.2,145.2,,,143.2,147.2,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENF,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,3264,3264,,,,,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,HIS,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,95.5,95.5,,,92.2,98.8,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,HIS,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,166.3,166.3,,,160.5,172.2,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,HIS,,,,
2011,2011,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,3146,3146,,,,,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,HIS,,,,
2011,2011,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,90,90,,,86.9,93.2,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,HIS,,,,
2011,2011,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,150.1,150.1,,,144.7,155.5,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,HIS,,,,
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,3148,3148,,,,,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,HIS,,,,
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,88.6,88.6,,,85.5,91.7,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,HIS,,,,
2012,2012,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,144.4,144.4,,,139.2,149.6,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,HIS,,,,
2013,2013,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,3216,3216,,,,,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,HIS,,,,
2013,2013,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,89.2,89.2,,,86.1,92.2,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,HIS,,,,
2013,2013,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,140.1,140.1,,,135.2,145.1,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,HIS,,,,
2014,2014,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,3174,3174,,,,,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,HIS,,,,
2014,2014,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,86.4,86.4,,,83.4,89.4,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,HIS,,,,
2014,2014,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,131.5,131.5,,,126.8,136.1,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,RACE,HIS,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Nmbr,Number,21360,21360,,,,,Gender,Male,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENM,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",CrdRate,Crude Rate,227.8,227.8,,,224.7,230.8,Gender,Male,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENM,,,,
2010,2010,NY,New York,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,246.7,246.7,,,243.3,250,Gender,Male,,,,,POINT(-75.54397042699964 42.82700103200045),CVD,CVD1_2,,36,GENDER,GENM,,,,
